Date,gw_01,gw_02,gw_03,gw_04,gw_05,gw_06,gw_07,gw_08,gw_09,gw_10,gw_11,gw_12,gw_13,gw_14,gw_15,gw_16,gw_17,gw_18,gw_19,gw_20,gw_21
1924-12-31,147.93,309.96,280.73,139.02,290.02,231.02,143.19,284.64,189.43,96.81,87.17,65.22,186.34,60.94,112.46,50,76.08,157.46,71.08,46.84,58.12
1925-01-31,69.56,74.73,63.27,33.81,64.64,66.72,36.02,83.89,59.24,43.44,34.97,29.06,83.69,25.17,33.41,25.25,27.24,41.68,19.81,13.92,25.06
1925-02-28,383.21,527.31,381.63,165.82,356.27,314.22,173.82,390.85,251.66,108.47,113.75,76.91,177.88,53.57,64.09,40.86,50.1,86.13,33.31,20.68,27.06
1925-03-31,101.54,168.46,126.27,59.44,129.15,109.9,61.15,143.3,84.21,43.72,45.37,34.64,112.07,59.83,101.41,43.12,61.22,160.56,125.15,84.16,106.94
1925-04-30,118.22,156.12,103.01,54.37,117.62,113.25,58.97,183.01,127.15,88.65,81.47,68.2,199.11,51.52,72.12,41.48,48.81,99.21,53.63,36.06,42.36
1925-05-31,67.24,96.33,80.69,40.87,73.3,104.6,42.37,107.48,95.61,76.84,43.91,37.61,131.73,61,63.86,30.54,32.1,58.51,53.45,22.51,24.71
1925-06-30,26.27,44.61,21.21,12.02,37.68,4.64,10.32,3,1.72,0.06,0.3,0.17,2.14,1.84,2.17,1.1,1.53,8.09,8.38,7.59,10.4
1925-07-31,0,0,0,0,0,2.51,0.63,18.18,10.33,2.19,1.99,1.22,3.4,2.28,3.42,2.72,1.92,1.93,0.29,0.07,0
1925-08-31,3.21,1.48,0.89,1.16,4.63,0.73,1.1,0.04,0.03,0,0,0,0,0,0,0,0,0,0,0,0.07
1925-09-30,38.74,52.23,31.35,8.98,21.79,8.91,4.65,8.93,4.55,0.91,1.64,0.4,0.15,0,0,0,0,0,0,0,0
1925-10-31,6.1,20.34,6.34,2.4,12.15,4.77,5.15,21.72,6.76,11.11,9.99,10.56,59.53,15.67,24.33,34.03,27.48,24.17,5.51,3.79,7.58
1925-11-30,78.69,84.3,63.59,33.02,80.29,92.34,43.15,87.55,64.39,25.72,29.8,21.28,44.47,6.11,4.69,6.23,6.06,7.2,2.76,1.61,6.43
1925-12-31,68.7,114.13,84.19,47.06,101.74,77.23,56.6,130.53,79.64,56.9,45.54,35.94,115.32,49.53,68.26,32.67,42.76,78.75,55.85,32.8,41.39
1926-01-31,181.77,308.44,266.22,124.93,262.29,230.96,96.82,184.38,158.31,82.2,67.91,50.95,128.99,46.93,56.12,29.92,34.18,56.84,33.66,17.79,19.29
1926-02-28,209.34,329.35,310.68,178.74,365.58,320.09,206.85,372.02,239.08,131.83,113.66,86.18,218.54,80.82,92.06,38.88,58.74,124.21,66.16,33.69,35.5
1926-03-31,13.02,4.83,5.18,5.57,3.84,4.51,7.61,7.54,5.02,11.36,8.74,7.61,35.33,4.11,9.11,2.36,6.18,25.17,22.63,17.87,21.85
1926-04-30,127.64,286.38,273.87,145.17,297.5,283.37,150.04,290.76,214.09,136.22,106.26,92.59,321.91,108.57,158.92,95.68,102.27,173.72,98.76,64.01,98.51
1926-05-31,22.8,31.49,14.41,11.41,36.69,17.87,16,14.91,6.1,3.01,4.52,3.29,8.66,0.71,0.21,1.1,1.19,2.26,0.56,1.27,6.26
1926-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0.91,0.21,0,0,0,0
1926-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926-08-31,6.07,7.66,5.72,1.38,1.79,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926-09-30,0,0.1,0,0,0.46,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926-10-31,60.31,61.28,61.87,44.05,97.8,103.13,66.03,101.17,75.38,17.22,22.27,13.02,26.05,12.58,24.76,8.86,11.42,17.97,5.35,1.28,0.46
1926-11-30,335.82,369.87,346.78,201.3,416.19,344.77,205.53,370.69,251.51,140.15,117.96,88.47,288.87,146.47,201.9,82.33,123.57,258.03,134.12,82.78,81.41
1926-12-31,117.53,181.46,92.64,32.17,72.44,37.49,34.69,80,41.45,41.95,35.14,30.1,91.62,30.33,50.18,18.51,29.04,73.47,58.96,40.75,53.39
1927-01-31,216.06,234.98,145.21,77.81,188.54,137.82,94.96,209.04,123.33,62.53,58.49,39.4,119.08,63.59,86.52,54.44,56.81,93.37,53.2,30.89,39.27
1927-02-28,303.36,448.05,342.61,165.78,346.97,342.91,181.43,359.97,258.68,163.65,125.13,97.52,289.44,140.52,174.23,72.12,93.26,192.93,144.24,75.6,101.02
1927-03-31,116.48,105.26,61.07,36.46,113.08,73,48.56,114.78,77.47,43.55,43.9,31.65,99.22,49.55,90.87,35.92,55.01,125.7,69.46,45.33,53.9
1927-04-30,80.84,102.75,70.22,42.6,94.25,142.95,73.35,154.64,94.37,49.3,53.37,40.88,101.23,17.94,21.57,18.82,22.51,40.61,16.77,11.16,13.95
1927-05-31,43.29,42.97,18.17,12.47,41.51,10.39,10.22,23.84,10.1,3.33,5.73,3.53,10.42,2.98,5.12,4.44,7.34,19.49,4.62,5.25,5.66
1927-06-30,15.4,28.42,28.9,16.13,31.2,23.32,16.24,24.83,19.43,4.1,5.1,2.98,8.02,0.84,0.35,1.9,0.88,0,0.07,0,0
1927-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927-08-31,0.98,0.1,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0.34,0,0,0.11,0,0,0
1927-09-30,0.55,0.88,0.04,0.09,0.61,0,0.01,0.68,0.7,0.81,0.34,0.1,1.28,0,0.02,1.27,1.11,0.03,0,0,0
1927-10-31,42.67,97.01,116.08,57.24,96.85,96.8,45.77,122.11,97.66,68.8,53.4,43.33,158.1,65.68,100.02,56.13,59.78,114.82,77.75,45.83,61.97
1927-11-30,223.77,238.54,163.69,89.09,200.55,177.96,87.79,176.61,117.3,67.19,58.6,45.58,135.91,55.82,73.83,31.14,42.11,80.43,34.85,21.87,29.78
1927-12-31,171.68,269.93,181.29,79.01,155.89,155.08,65.56,170.51,116.03,73.61,63.7,49.77,129.45,38.34,51.4,24.23,35.36,71.23,43.07,28.32,44.48
1928-01-31,84.97,131.89,113.56,57.58,114.13,105.86,52.07,99.18,77.59,27.18,33.07,22,40.89,7.36,9.82,7.27,7.98,23.94,12.53,9.99,10.42
1928-02-29,95.66,162.23,141.58,70.52,146.39,101.09,63.42,115.86,74.6,46.61,39.89,31.5,94.29,44.66,59.11,24.37,31.71,67.35,43.07,23.55,31.42
1928-03-31,189.44,239.15,186.53,109.13,250.95,223.14,138.32,331.83,199.04,99.2,112.82,83.64,194.91,57.22,82.08,42.26,54.05,96.08,50.48,28.53,35.46
1928-04-30,57.79,54.67,40.33,23.3,50.51,56.37,32.41,95.27,57.27,26.19,36.87,25.21,49.48,7.2,9.51,8.46,7.77,12.44,8.18,5.15,6.73
1928-05-31,3.65,1.14,0.16,0.01,0.11,10.3,2.26,13.85,14.29,2.5,3.29,1.43,1.71,6.44,11.94,1.12,4.75,34.43,40.72,28.89,34.52
1928-06-30,2.77,3.6,3.26,1.86,2.74,0.15,1.62,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0
1928-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928-08-31,1.08,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928-09-30,2.67,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928-10-31,17.36,23.75,11.64,4.84,14.25,5.35,3.57,3.88,1.67,0.08,0.6,0.18,0.12,0,0,0,0,0,0,0,0.02
1928-11-30,169.47,236.89,184.06,90.72,190.05,180.48,96.36,227.11,160.91,113.04,89.7,73.75,212.62,67.81,87.9,42.91,53.24,111.2,61.04,40.24,43.83
1928-12-31,113.16,195.41,175.55,93.23,200.64,195.24,85.14,184.23,142.07,86.54,70.77,56.06,165.05,67.87,98.16,43,61.96,121.72,64.68,37.88,47.38
1929-01-31,42.82,55.82,34.61,21.85,58.27,41.16,40.14,102.02,50.51,38.51,35.85,27.81,83.96,40.37,54.93,32.48,36.48,65.51,40.68,25.47,46.02
1929-02-28,118.83,166.2,119.21,60.58,133.67,93.84,55.34,107.94,68.15,35.22,35.27,27.04,77.71,29,37.65,19.11,27.3,52.82,26.01,14.38,16.89
1929-03-31,63.83,92.4,71.43,39.7,87.74,84.06,62.45,128.67,74.77,46.59,46.92,39.71,132.78,45.63,79.69,41.49,55.79,123.52,76.38,53.81,73.19
1929-04-30,72.07,54.26,28.66,18.79,46.68,36.62,28.84,69.04,30.61,39.81,33.45,29.99,103.91,26.2,45.16,24.57,35.39,73.17,31.97,24.72,29.84
1929-05-31,2.32,0.9,0,0,0.07,0.83,0,1.67,0.4,0.11,0.48,0.22,0.14,0,0,0,0,0,0,0,0
1929-06-30,57.25,79.11,62.79,37.18,78.26,56.43,36.95,82.76,58.65,24.52,24.05,16.33,53.69,17.05,15.65,7.86,7.15,13.98,9.03,3.8,2.71
1929-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929-08-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929-09-30,0,0,0,0,0,0,0,0,0,0.03,0.01,0.18,0.33,0,0.36,0.09,0.21,0.12,0,0,0.14
