capacity,cost
2.389065476,4301.47
2.622583155,3702.97
2.865082282,3140.804717
3.09859996,2599.48
3.341099087,2056.698679
3.574616766,1534.04
3.817115893,1018.41
4.05961502,614.6
4.293132698,338.03
4.535631826,106.01
4.769149504,0.0
