capacity,cost
30.32137236,54673.91
33.35710218,47049.25
36.38385055,39994.65
39.41958036,33044.07
42.44632873,26203.07
45.48205854,19494.08
48.51778836,12949.76
51.54453673,7805.4
54.58026654,4295.22
57.61599636,1350.57
60.64274473,0.0
