capacity,cost
5.083500224,9159.76
5.586461377,7883.71
6.098403979,6699.300531
6.601365132,5535.69
7.113307735,4390.79
7.616268887,3266.34
8.12821149,2169.16
8.640154092,1308.21
9.143115245,719.71
9.655057847,226.03
10.158019,0.0
