capacity,cost
34.05765521,61408.75
37.46162445,52844.55
40.86559368,44920.66
44.26956291,37113.62
47.68251359,29429.64
51.08648282,21896.18
54.49045205,14545.46
57.89442128,8767.2
61.29839052,4824.48
64.7113412,1516.99
68.11531043,0.0
