capacity,cost
25.21990924,45478.69
27.74369645,39136.84
30.26748367,33267.06
32.79127088,27485.9
35.3150581,21795.87
37.82986386,16215.3
40.35365107,10772.05
42.87743829,6493.21
45.4012255,3572.56
47.92501272,1123.34
50.44879993,0.0
