capacity,cost
10.01431581,18061.03
11.02023812,15542.81
12.01717898,13212.87
13.02310128,10915.23
14.02004214,8655.83
15.02596444,6440.69
16.0229053,4277.35
17.02882761,2578.31
18.03474991,1418.99
19.03169077,446.46
20.03761308,0.0
