capacity,cost
12.00819753,21650.73
13.21171171,18631.12
14.40624445,15837.29
15.60975864,13084.64
16.81327283,10375.4
18.00780557,7719.21
19.21131975,5127.46
20.41483394,3090.14
21.60936668,1701.04
22.81288087,534.87
24.01639505,0.0
