date,gw_01,gw_02,gw_03,gw_04,gw_05
31.10.1921,96.63,141.14,71.89,-29.14,22.14
30.11.1921,56.45,76.47,46.97,-0.41,22.28
31.12.1921,39.84,58.81,58.29,69.07,59.74
31.01.1922,28.79,39.56,23.07,2.46,4.95
28.02.1922,27.07,47.48,51.65,83.15,90.46
31.03.1922,22.1,28.79,9.16,0.76,12.14
30.04.1922,18.88,21.65,22.2,15.15,54.46
31.05.1922,13.53,17.37,10.83,3.4,82.39
30.06.1922,6.33,9.96,0.7,-53.63,-66.2
31.07.1922,3.23,7.68,-1.82,-64.91,-74.61
31.08.1922,1.78,7.02,1.92,-37.31,-16.6
30.09.1922,1.76,7.07,3.55,-12.41,-5.83
31.10.1922,2.96,7.91,6.52,9.01,10.42
30.11.1922,3.07,13.6,17.67,33.66,24.7
31.12.1922,5.81,18.44,44.84,96.89,87.35
31.01.1923,6.98,16.68,6.52,4.26,-7.82
28.02.1923,4.95,10.82,-2.99,-17.45,-17.25
31.03.1923,4.39,9.15,-1.27,-5.58,12.31
30.04.1923,7.44,11.65,16.79,40.1,58.81
31.05.1923,1.61,1.44,-4.82,-35.14,-26.53
30.06.1923,-0.42,3.39,-3.91,-40.6,-30.54
31.07.1923,-2.19,2.84,-3.85,-36.59,-12.9
31.08.1923,-2.86,2.91,-1.19,-22.94,-5.41
30.09.1923,-1.46,4.71,3.33,-2.05,0.72
31.10.1923,-0.73,4,-0.12,2.53,7.64
30.11.1923,-0.86,2.99,-2.03,3.17,2.2
31.12.1923,-0.6,4.64,0.6,8.27,2.66
31.01.1924,-0.36,6.48,4.31,18.18,8.3
29.02.1924,0.82,11.1,7.22,37.42,31.34
31.03.1924,-0.97,0.92,-5.73,-14.9,-18.93
30.04.1924,-1.77,-0.97,-2.56,-20.88,2.08
31.05.1924,-2.84,1.59,-4.49,-21.44,-15.57
30.06.1924,-3.42,3.14,-3.35,-24.31,-9.74
31.07.1924,-3.87,2.56,-2.6,-18.29,3.95
31.08.1924,-4.26,2.83,-2.15,-14.88,6.9
30.09.1924,-4.8,3.31,-2.4,-6.99,9.79
31.10.1924,-2.03,9.4,11.85,41.83,33.99
30.11.1924,-0.2,8.06,3.32,29.4,9.16
31.12.1924,1.22,14.5,22.34,56.38,31.6
31.01.1925,2.07,11.32,-1.94,6.36,-4.69
28.02.1925,14.07,45.66,65.48,190.84,149.21
31.03.1925,5.77,15.79,-21.37,-63.59,-59.3
30.04.1925,7.44,15.37,1.25,8.91,25.76
31.05.1925,1.8,10.31,-5.18,-42.27,-26.75
30.06.1925,-2.18,3.58,-12.37,-62.81,-36.21
31.07.1925,-4.04,3.37,-10.76,-52.45,-13.71
31.08.1925,-4.35,4.39,-5.83,-30.66,-7.99
30.09.1925,-3.36,5.43,-1.24,-15.45,0.15
31.10.1925,-1.67,5.64,-4.93,3.16,3.31
30.11.1925,-0.92,5.93,-0.1,12.1,7.16
31.12.1925,0.15,8.13,2.06,20.36,9.17
31.01.1926,1.72,14.96,19.37,52.72,25.08
28.02.1926,9.82,30.2,41.71,119.59,115.51
31.03.1926,3.61,12.79,-17.35,-47.72,-47.26
30.04.1926,5.13,16.67,19.06,38.47,73.75
31.05.1926,-0.44,2.59,-15.26,-72.49,-80.13
30.06.1926,-2.5,3.77,-11.83,-63.74,-31.92
31.07.1926,-2.95,5.33,-6.43,-45.49,-13
31.08.1926,-2.8,5.15,-3.73,-34,-6.75
30.09.1926,-2.8,5.66,-5.55,-9.7,7.94
31.10.1926,-0.57,7.06,-1.72,8.12,4.05
30.11.1926,7.27,22.09,43.38,138.38,95.62
31.12.1926,8.07,16.81,-0.71,18.29,-16.25
31.01.1927,11.34,24.37,12.46,40.85,20.98
28.02.1927,21.18,66.71,64.27,162.91,180.06
31.03.1927,16.33,24.8,-26.83,-52.15,-55.4
30.04.1927,16.24,18.24,-6,-6.61,27.31
31.05.1927,9.55,11.38,-9.44,-66.54,-46.77
30.06.1927,4.27,8.28,-9.71,-80.12,-52.85
31.07.1927,1.64,7.13,-9.73,-79.54,-37.13
31.08.1927,0.93,7.06,-5.89,-59.84,-15.86
30.09.1927,0.66,8.68,-4.18,-36.87,-4.55
31.10.1927,1.62,8.56,-2.39,-5.76,3.93
30.11.1927,6.88,19.43,14.5,61.71,33.97
31.12.1927,6.72,16.6,6.2,14.59,-1.32
31.01.1928,10.18,17.87,4.21,13.78,5.1
29.02.1928,12.63,21.47,8.02,33.81,29.3
31.03.1928,16.18,25.93,22.21,90.19,146.51
30.04.1928,12.7,13.78,-10.87,-40.65,-65.73
31.05.1928,5.44,5.43,-10.15,-67.34,-58.51
30.06.1928,2.4,6.72,-13.51,-77,-43.28
31.07.1928,1.59,7.43,-9.58,-59.01,-11.7
31.08.1928,0.79,7.38,-6.41,-45.07,-13.8
30.09.1928,0.38,8.17,-6.08,-16.72,-0.21
31.10.1928,1.78,8.49,-5.63,-8.64,0.98
30.11.1928,3.04,14.79,7.9,30.86,12.95
31.12.1928,3.67,13.89,6.21,18.99,11.96
