Units, ,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF,TAF
Type, ,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER,PER-AVER
431,31 Aug 1956, 24:00, , , ,14.953, , , , , , 
432,30 Sep 1956, 24:00, , , ,5.860, , , , , , 
433,31 Oct 1956, 24:00, , , ,6.867, , , , , , 
434,30 Nov 1956, 24:00, , , ,12.032, , , , , , 
435,31 Dec 1956, 24:00, , , ,14.279, , , , , , 
436,31 Jan 1957, 24:00, , , ,14.348, , , , , , 
437,28 Feb 1957, 24:00, , , ,14.170, , , , , , 
438,31 Mar 1957, 24:00, , , ,14.120, , , , , , 
439,30 Apr 1957, 24:00, , , ,13.635, , , , , , 
440,31 May 1957, 24:00, , , ,13.725, , , , , , 
441,30 Jun 1957, 24:00, , , ,13.289, , , , , , 
442,31 Jul 1957, 24:00, , , ,11.924, , , , , , 
443,31 Aug 1957, 24:00, , , ,11.459, , , , , , 
444,30 Sep 1957, 24:00, , , ,13.873, , , , , , 
445,31 Oct 1957, 24:00, , , ,4.549, , , , , , 
446,30 Nov 1957, 24:00, , , ,5.509, , , , , , 
447,31 Dec 1957, 24:00, , , ,13.850, , , , , , 
448,31 Jan 1958, 24:00, , , ,14.626, , , , , , 
449,28 Feb 1958, 24:00, , , ,12.036, , , , , , 
450,31 Mar 1958, 24:00, , , ,14.296, , , , , , 
451,30 Apr 1958, 24:00, , , ,14.044, , , , , , 
452,31 May 1958, 24:00, , , ,9.670, , , , , , 
453,30 Jun 1958, 24:00, , , ,11.027, , , , , , 
454,31 Jul 1958, 24:00, , , ,14.112, , , , , , 
455,31 Aug 1958, 24:00, , , ,14.218, , , , , , 
456,30 Sep 1958, 24:00, , , ,8.797, , , , , , 
457,31 Oct 1958, 24:00, , , ,9.285, , , , , , 
458,30 Nov 1958, 24:00, , , ,9.073, , , , , , 
459,31 Dec 1958, 24:00, , , ,1.601, , , , , , 
460,31 Jan 1959, 24:00, , , ,1.728, , , , , , 
461,28 Feb 1959, 24:00, , , ,8.575, , , , , , 
462,31 Mar 1959, 24:00, , , ,10.420, , , , , , 
463,30 Apr 1959, 24:00, , , ,9.137, , , , , , 
464,31 May 1959, 24:00, , , ,8.247, , , , , , 
465,30 Jun 1959, 24:00, , , ,7.982, , , , , , 
466,31 Jul 1959, 24:00, , , ,8.310, , , , , , 
467,31 Aug 1959, 24:00, , , ,9.296, , , , , , 
468,30 Sep 1959, 24:00, , , ,8.204, , , , , , 
469,31 Oct 1959, 24:00, , , ,9.100, , , , , , 
470,30 Nov 1959, 24:00, , , ,13.894, , , , , , 
471,31 Dec 1959, 24:00, , , ,11.522, , , , , , 
472,31 Jan 1960, 24:00, , , , ,9.745, , , , , 
473,29 Feb 1960, 24:00, , , , ,10.223, , , , , 
474,31 Mar 1960, 24:00, , , , ,12.303, , , , , 
475,30 Apr 1960, 24:00, , , , ,13.611, , , , , 
476,31 May 1960, 24:00, , , , ,14.295, , , , , 
477,30 Jun 1960, 24:00, , , , ,13.191, , , , , 
478,31 Jul 1960, 24:00, , , , ,13.084, , , , , 
479,31 Aug 1960, 24:00, , , , ,13.289, , , , , 
480,30 Sep 1960, 24:00, , , , ,12.830, , , , , 
481,31 Oct 1960, 24:00, , , , ,14.873, , , , , 
482,30 Nov 1960, 24:00, , , , ,14.572, , , , , 
483,31 Dec 1960, 24:00, , , , ,15.123, , , , , 
484,31 Jan 1961, 24:00, , , , ,4.377, , , , , 
485,28 Feb 1961, 24:00, , , , ,10.055, , , , , 
486,31 Mar 1961, 24:00, , , , ,14.402, , , , , 
487,30 Apr 1961, 24:00, , , , ,14.953, , , , , 
488,31 May 1961, 24:00, , , , ,9.965, , , , , 
489,30 Jun 1961, 24:00, , , , ,4.337, , , , , 
490,31 Jul 1961, 24:00, , , , ,8.463, , , , , 
491,31 Aug 1961, 24:00, , , , ,13.771, , , , , 
492,30 Sep 1961, 24:00, , , , ,6.630, , , , , 
493,31 Oct 1961, 24:00, , , , ,6.138, , , , , 
494,30 Nov 1961, 24:00, , , , ,6.985, , , , , 
495,31 Dec 1961, 24:00, , , , ,13.123, , , , , 
496,31 Jan 1962, 24:00, , , , ,14.927, , , , , 
497,28 Feb 1962, 24:00, , , , ,13.214, , , , , 
498,31 Mar 1962, 24:00, , , , ,14.796, , , , , 
499,30 Apr 1962, 24:00, , , , ,14.585, , , , , 
500,31 May 1962, 24:00, , , , ,15.089, , , , , 
501,30 Jun 1962, 24:00, , , , ,14.423, , , , , 
502,31 Jul 1962, 24:00, , , , ,14.776, , , , , 
503,31 Aug 1962, 24:00, , , , ,14.645, , , , , 
504,30 Sep 1962, 24:00, , , , ,8.940, , , , , 
505,31 Oct 1962, 24:00, , , , ,2.750, , , , , 
506,30 Nov 1962, 24:00, , , , ,12.660, , , , , 
507,31 Dec 1962, 24:00, , , , ,4.913, , , , , 
508,31 Jan 1963, 24:00, , , , ,3.254, , , , , 
509,28 Feb 1963, 24:00, , , , ,2.037, , , , , 
510,31 Mar 1963, 24:00, , , , ,7.391, , , , , 
511,30 Apr 1963, 24:00, , , , ,12.944, , , , , 
512,31 May 1963, 24:00, , , , ,13.668, , , , , 
513,30 Jun 1963, 24:00, , , , ,13.322, , , , , 
514,31 Jul 1963, 24:00, , , , ,12.660, , , , , 
515,31 Aug 1963, 24:00, , , , ,12.923, , , , , 
516,30 Sep 1963, 24:00, , , , ,13.500, , , , , 
517,31 Oct 1963, 24:00, , , , ,13.171, , , , , 
518,30 Nov 1963, 24:00, , , , ,4.799, , , , , 
519,31 Dec 1963, 24:00, , , , ,8.107, , , , , 
520,31 Jan 1964, 24:00, , , , ,10.521, , , , , 
521,29 Feb 1964, 24:00, , , , ,10.345, , , , , 
522,31 Mar 1964, 24:00, , , , ,13.799, , , , , 
523,30 Apr 1964, 24:00, , , , ,5.849, , , , , 
524,31 May 1964, 24:00, , , , ,13.956, , , , , 
525,30 Jun 1964, 24:00, , , , ,13.328, , , , , 
526,31 Jul 1964, 24:00, , , , ,13.878, , , , , 
527,31 Aug 1964, 24:00, , , , ,13.691, , , , , 
528,30 Sep 1964, 24:00, , , , ,13.161, , , , , 
529,31 Oct 1964, 24:00, , , , ,4.588, , , , , 
530,30 Nov 1964, 24:00, , , , ,5.556, , , , , 
531,31 Dec 1964, 24:00, , , , ,13.968, , , , , 
532,31 Jan 1965, 24:00, , , , ,14.751, , , , , 
533,28 Feb 1965, 24:00, , , , ,12.139, , , , , 
534,31 Mar 1965, 24:00, , , , ,14.418, , , , , 
535,30 Apr 1965, 24:00, , , , ,14.164, , , , , 
536,31 May 1965, 24:00, , , , ,9.752, , , , , 
537,30 Jun 1965, 24:00, , , , ,11.122, , , , , 
538,31 Jul 1965, 24:00, , , , ,14.232, , , , , 
539,31 Aug 1965, 24:00, , , , ,14.340, , , , , 
540,30 Sep 1965, 24:00, , , , ,8.872, , , , , 
541,31 Oct 1965, 24:00, , , , ,9.272, , , , , 
542,30 Nov 1965, 24:00, , , , ,9.061, , , , , 
543,31 Dec 1965, 24:00, , , , ,1.598, , , , , 
544,31 Jan 1966, 24:00, , , , ,1.725, , , , , 
545,28 Feb 1966, 24:00, , , , ,8.563, , , , , 
546,31 Mar 1966, 24:00, , , , ,10.405, , , , , 
547,30 Apr 1966, 24:00, , , , ,9.124, , , , , 
548,31 May 1966, 24:00, , , , ,8.235, , , , , 
549,30 Jun 1966, 24:00, , , , ,7.970, , , , , 
550,31 Jul 1966, 24:00, , , , ,8.299, , , , , 
551,31 Aug 1966, 24:00, , , , ,9.283, , , , , 
552,30 Sep 1966, 24:00, , , , ,8.193, , , , , 
553,31 Oct 1966, 24:00, , , , ,2.743, , , , , 
554,30 Nov 1966, 24:00, , , , ,12.626, , , , , 
555,31 Dec 1966, 24:00, , , , ,4.900, , , , , 
556,31 Jan 1967, 24:00, , , , ,3.246, , , , , 
557,28 Feb 1967, 24:00, , , , ,2.031, , , , , 
558,31 Mar 1967, 24:00, , , , ,7.371, , , , , 
559,30 Apr 1967, 24:00, , , , ,12.909, , , , , 
560,31 May 1967, 24:00, , , , ,13.631, , , , , 
561,30 Jun 1967, 24:00, , , , ,13.286, , , , , 
562,31 Jul 1967, 24:00, , , , ,12.626, , , , , 
563,31 Aug 1967, 24:00, , , , ,12.888, , , , , 
564,30 Sep 1967, 24:00, , , , ,13.464, , , , , 
565,31 Oct 1967, 24:00, , , , ,7.195, , , , , 
566,30 Nov 1967, 24:00, , , , ,12.607, , , , , 
567,31 Dec 1967, 24:00, , , , ,14.960, , , , , 
568,31 Jan 1968, 24:00, , , , ,15.033, , , , , 
569,29 Feb 1968, 24:00, , , , ,14.846, , , , , 
570,31 Mar 1968, 24:00, , , , ,14.794, , , , , 
571,30 Apr 1968, 24:00, , , , ,14.286, , , , , 
572,31 May 1968, 24:00, , , , ,14.379, , , , , 
573,30 Jun 1968, 24:00, , , , ,13.923, , , , , 
574,31 Jul 1968, 24:00, , , , ,12.493, , , , , 
575,31 Aug 1968, 24:00, , , , ,12.005, , , , , 
576,30 Sep 1968, 24:00, , , , ,14.535, , , , , 
577,31 Oct 1968, 24:00, , , , ,1.548, , , , , 
578,30 Nov 1968, 24:00, , , , ,2.740, , , , , 
579,31 Dec 1968, 24:00, , , , ,12.294, , , , , 
580,31 Jan 1969, 24:00, , , , ,15.971, , , , , 
581,28 Feb 1969, 24:00, , , , ,14.402, , , , , 
582,31 Mar 1969, 24:00, , , , ,15.848, , , , , 
583,30 Apr 1969, 24:00, , , , ,15.288, , , , , 
584,31 May 1969, 24:00, , , , ,16.022, , , , , 
585,30 Jun 1969, 24:00, , , , ,15.237, , , , , 
586,31 Jul 1969, 24:00, , , , ,15.573, , , , , 
587,31 Aug 1969, 24:00, , , , ,15.614, , , , , 
588,30 Sep 1969, 24:00, , , , ,13.659, , , , , 
589,31 Oct 1969, 24:00, , , , ,2.749, , , , , 
590,30 Nov 1969, 24:00, , , , ,12.654, , , , , 
591,31 Dec 1969, 24:00, , , , ,4.911, , , , , 
592,31 Jan 1970, 24:00, , , , , ,3.253, , , , 
593,28 Feb 1970, 24:00, , , , , ,2.036, , , , 
594,31 Mar 1970, 24:00, , , , , ,7.387, , , , 
595,30 Apr 1970, 24:00, , , , , ,12.938, , , , 
596,31 May 1970, 24:00, , , , , ,13.662, , , , 
597,30 Jun 1970, 24:00, , , , , ,13.315, , , , 
598,31 Jul 1970, 24:00, , , , , ,12.654, , , , 
599,31 Aug 1970, 24:00, , , , , ,12.917, , , , 
600,30 Sep 1970, 24:00, , , , , ,13.494, , , , 
601,31 Oct 1970, 24:00, , , , , ,13.072, , , , 
602,30 Nov 1970, 24:00, , , , , ,14.072, , , , 
603,31 Dec 1970, 24:00, , , , , ,11.345, , , , 
604,31 Jan 1971, 24:00, , , , , ,14.809, , , , 
605,28 Feb 1971, 24:00, , , , , ,14.227, , , , 
606,31 Mar 1971, 24:00, , , , , ,15.188, , , , 
607,30 Apr 1971, 24:00, , , , , ,14.596, , , , 
608,31 May 1971, 24:00, , , , , ,14.732, , , , 
609,30 Jun 1971, 24:00, , , , , ,14.470, , , , 
610,31 Jul 1971, 24:00, , , , , ,15.003, , , , 
611,31 Aug 1971, 24:00, , , , , ,15.013, , , , 
612,30 Sep 1971, 24:00, , , , , ,9.365, , , , 
613,31 Oct 1971, 24:00, , , , , ,9.072, , , , 
614,30 Nov 1971, 24:00, , , , , ,13.851, , , , 
615,31 Dec 1971, 24:00, , , , , ,11.486, , , , 
616,31 Jan 1972, 24:00, , , , , ,9.714, , , , 
617,29 Feb 1972, 24:00, , , , , ,10.191, , , , 
618,31 Mar 1972, 24:00, , , , , ,12.265, , , , 
619,30 Apr 1972, 24:00, , , , , ,13.569, , , , 
620,31 May 1972, 24:00, , , , , ,14.250, , , , 
621,30 Jun 1972, 24:00, , , , , ,13.151, , , , 
622,31 Jul 1972, 24:00, , , , , ,13.043, , , , 
623,31 Aug 1972, 24:00, , , , , ,13.248, , , , 
624,30 Sep 1972, 24:00, , , , , ,12.790, , , , 
625,31 Oct 1972, 24:00, , , , , ,9.503, , , , 
626,30 Nov 1972, 24:00, , , , , ,14.076, , , , 
627,31 Dec 1972, 24:00, , , , , ,15.581, , , , 
628,31 Jan 1973, 24:00, , , , , ,15.541, , , , 
629,28 Feb 1973, 24:00, , , , , ,14.215, , , , 
630,31 Mar 1973, 24:00, , , , , ,15.591, , , , 
631,30 Apr 1973, 24:00, , , , , ,14.937, , , , 
632,31 May 1973, 24:00, , , , , ,15.571, , , , 
633,30 Jun 1973, 24:00, , , , , ,14.710, , , , 
634,31 Jul 1973, 24:00, , , , , ,15.294, , , , 
635,31 Aug 1973, 24:00, , , , , ,15.284, , , , 
636,30 Sep 1973, 24:00, , , , , ,14.046, , , , 
637,31 Oct 1973, 24:00, , , , , ,6.541, , , , 
638,30 Nov 1973, 24:00, , , , , ,10.459, , , , 
639,31 Dec 1973, 24:00, , , , , ,15.251, , , , 
640,31 Jan 1974, 24:00, , , , , ,15.183, , , , 
641,28 Feb 1974, 24:00, , , , , ,13.935, , , , 
642,31 Mar 1974, 24:00, , , , , ,15.173, , , , 
643,30 Apr 1974, 24:00, , , , , ,14.898, , , , 
644,31 May 1974, 24:00, , , , , ,14.976, , , , 
645,30 Jun 1974, 24:00, , , , , ,14.152, , , , 
646,31 Jul 1974, 24:00, , , , , ,14.476, , , , 
647,31 Aug 1974, 24:00, , , , , ,14.260, , , , 
648,30 Sep 1974, 24:00, , , , , ,5.588, , , , 
649,31 Oct 1974, 24:00, , , , , ,9.280, , , , 
650,30 Nov 1974, 24:00, , , , , ,13.745, , , , 
651,31 Dec 1974, 24:00, , , , , ,15.215, , , , 
652,31 Jan 1975, 24:00, , , , , ,15.176, , , , 
653,28 Feb 1975, 24:00, , , , , ,13.881, , , , 
654,31 Mar 1975, 24:00, , , , , ,15.224, , , , 
655,30 Apr 1975, 24:00, , , , , ,14.586, , , , 
656,31 May 1975, 24:00, , , , , ,15.205, , , , 
657,30 Jun 1975, 24:00, , , , , ,14.364, , , , 
658,31 Jul 1975, 24:00, , , , , ,14.934, , , , 
659,31 Aug 1975, 24:00, , , , , ,14.925, , , , 
660,30 Sep 1975, 24:00, , , , , ,13.716, , , , 
661,31 Oct 1975, 24:00, , , , , ,12.990, , , , 
662,30 Nov 1975, 24:00, , , , , ,12.980, , , , 
663,31 Dec 1975, 24:00, , , , , ,12.600, , , , 
664,31 Jan 1976, 24:00, , , , , ,13.720, , , , 
665,29 Feb 1976, 24:00, , , , , ,6.400, , , , 
666,31 Mar 1976, 24:00, , , , , ,4.870, , , , 
667,30 Apr 1976, 24:00, , , , , ,0.450, , , , 
668,31 May 1976, 24:00, , , , , ,0.850, , , , 
669,30 Jun 1976, 24:00, , , , , ,1.520, , , , 
670,31 Jul 1976, 24:00, , , , , ,1.510, , , , 
671,31 Aug 1976, 24:00, , , , , ,0.190, , , , 
672,30 Sep 1976, 24:00, , , , , ,12.450, , , , 
673,31 Oct 1976, 24:00, , , , , ,10.470, , , , 
674,30 Nov 1976, 24:00, , , , , ,6.620, , , , 
675,31 Dec 1976, 24:00, , , , , ,0.520, , , , 
676,31 Jan 1977, 24:00, , , , , ,0.000, , , , 
677,28 Feb 1977, 24:00, , , , , ,0.000, , , , 
678,31 Mar 1977, 24:00, , , , , ,0.000, , , , 
679,30 Apr 1977, 24:00, , , , , ,0.060, , , , 
680,31 May 1977, 24:00, , , , , ,0.000, , , , 
681,30 Jun 1977, 24:00, , , , , ,0.650, , , , 
682,31 Jul 1977, 24:00, , , , , ,0.190, , , , 
683,31 Aug 1977, 24:00, , , , , ,0.000, , , , 
684,30 Sep 1977, 24:00, , , , , ,0.340, , , , 
685,31 Oct 1977, 24:00, , , , , ,0.330, , , , 
686,30 Nov 1977, 24:00, , , , , ,0.210, , , , 
687,31 Dec 1977, 24:00, , , , , ,5.230, , , , 
688,31 Jan 1978, 24:00, , , , , ,13.230, , , , 
689,28 Feb 1978, 24:00, , , , , ,5.510, , , , 
690,31 Mar 1978, 24:00, , , , , ,0.000, , , , 
691,30 Apr 1978, 24:00, , , , , ,2.360, , , , 
692,31 May 1978, 24:00, , , , , ,9.990, , , , 
693,30 Jun 1978, 24:00, , , , , ,7.970, , , , 
694,31 Jul 1978, 24:00, , , , , ,8.710, , , , 
695,31 Aug 1978, 24:00, , , , , ,8.170, , , , 
696,30 Sep 1978, 24:00, , , , , ,7.590, , , , 
697,31 Oct 1978, 24:00, , , , , ,8.760, , , , 
698,30 Nov 1978, 24:00, , , , , ,8.560, , , , 
699,31 Dec 1978, 24:00, , , , , ,1.510, , , , 
700,31 Jan 1979, 24:00, , , , , ,1.630, , , , 
701,28 Feb 1979, 24:00, , , , , ,8.090, , , , 
702,31 Mar 1979, 24:00, , , , , ,9.830, , , , 
703,30 Apr 1979, 24:00, , , , , ,8.620, , , , 
704,31 May 1979, 24:00, , , , , ,7.780, , , , 
705,30 Jun 1979, 24:00, , , , , ,7.530, , , , 
706,31 Jul 1979, 24:00, , , , , ,7.840, , , , 
707,31 Aug 1979, 24:00, , , , , ,8.770, , , , 
708,30 Sep 1979, 24:00, , , , , ,7.740, , , , 
709,31 Oct 1979, 24:00, , , , , ,14.620, , , , 
710,30 Nov 1979, 24:00, , , , , ,1.420, , , , 
711,31 Dec 1979, 24:00, , , , , ,3.380, , , , 
712,31 Jan 1980, 24:00, , , , , , ,12.920, , , 
713,29 Feb 1980, 24:00, , , , , , ,12.950, , , 
714,31 Mar 1980, 24:00, , , , , , ,14.490, , , 
715,30 Apr 1980, 24:00, , , , , , ,14.380, , , 
716,31 May 1980, 24:00, , , , , , ,13.660, , , 
717,30 Jun 1980, 24:00, , , , , , ,14.090, , , 
718,31 Jul 1980, 24:00, , , , , , ,14.620, , , 
719,31 Aug 1980, 24:00, , , , , , ,14.720, , , 
720,30 Sep 1980, 24:00, , , , , , ,14.270, , , 
721,31 Oct 1980, 24:00, , , , , , ,0.610, , , 
722,30 Nov 1980, 24:00, , , , , , ,5.540, , , 
723,31 Dec 1980, 24:00, , , , , , ,12.150, , , 
724,31 Jan 1981, 24:00, , , , , , ,7.250, , , 
725,28 Feb 1981, 24:00, , , , , , ,12.110, , , 
726,31 Mar 1981, 24:00, , , , , , ,14.810, , , 
727,30 Apr 1981, 24:00, , , , , , ,6.240, , , 
728,31 May 1981, 24:00, , , , , , ,13.110, , , 
729,30 Jun 1981, 24:00, , , , , , ,13.130, , , 
730,31 Jul 1981, 24:00, , , , , , ,11.350, , , 
731,31 Aug 1981, 24:00, , , , , , ,13.320, , , 
732,30 Sep 1981, 24:00, , , , , , ,0.080, , , 
733,31 Oct 1981, 24:00, , , , , , ,6.620, , , 
734,30 Nov 1981, 24:00, , , , , , ,11.200, , , 
735,31 Dec 1981, 24:00, , , , , , ,14.760, , , 
736,31 Jan 1982, 24:00, , , , , , ,14.810, , , 
737,28 Feb 1982, 24:00, , , , , , ,13.350, , , 
738,31 Mar 1982, 24:00, , , , , , ,14.820, , , 
739,30 Apr 1982, 24:00, , , , , , ,14.240, , , 
740,31 May 1982, 24:00, , , , , , ,14.790, , , 
741,30 Jun 1982, 24:00, , , , , , ,14.320, , , 
742,31 Jul 1982, 24:00, , , , , , ,14.740, , , 
743,31 Aug 1982, 24:00, , , , , , ,14.400, , , 
744,30 Sep 1982, 24:00, , , , , , ,8.770, , , 
745,31 Oct 1982, 24:00, , , , , , ,11.490, , , 
746,30 Nov 1982, 24:00, , , , , , ,14.570, , , 
747,31 Dec 1982, 24:00, , , , , , ,14.990, , , 
748,31 Jan 1983, 24:00, , , , , , ,15.030, , , 
749,28 Feb 1983, 24:00, , , , , , ,13.590, , , 
750,31 Mar 1983, 24:00, , , , , , ,3.820, , , 
751,30 Apr 1983, 24:00, , , , , , ,12.140, , , 
752,31 May 1983, 24:00, , , , , , ,14.810, , , 
753,30 Jun 1983, 24:00, , , , , , ,14.220, , , 
754,31 Jul 1983, 24:00, , , , , , ,14.690, , , 
755,31 Aug 1983, 24:00, , , , , , ,14.660, , , 
756,30 Sep 1983, 24:00, , , , , , ,11.040, , , 
757,31 Oct 1983, 24:00, , , , , , ,8.520, , , 
758,30 Nov 1983, 24:00, , , , , , ,11.560, , , 
759,31 Dec 1983, 24:00, , , , , , ,15.030, , , 
760,31 Jan 1984, 24:00, , , , , , ,15.050, , , 
761,29 Feb 1984, 24:00, , , , , , ,13.650, , , 
762,31 Mar 1984, 24:00, , , , , , ,15.060, , , 
763,30 Apr 1984, 24:00, , , , , , ,14.480, , , 
764,31 May 1984, 24:00, , , , , , ,12.640, , , 
765,30 Jun 1984, 24:00, , , , , , ,12.550, , , 
766,31 Jul 1984, 24:00, , , , , , ,14.630, , , 
767,31 Aug 1984, 24:00, , , , , , ,14.870, , , 
768,30 Sep 1984, 24:00, , , , , , ,12.340, , , 
769,31 Oct 1984, 24:00, , , , , , ,14.850, , , 
770,30 Nov 1984, 24:00, , , , , , ,14.550, , , 
771,31 Dec 1984, 24:00, , , , , , ,15.100, , , 
772,31 Jan 1985, 24:00, , , , , , ,4.370, , , 
773,28 Feb 1985, 24:00, , , , , , ,10.040, , , 
774,31 Mar 1985, 24:00, , , , , , ,14.380, , , 
775,30 Apr 1985, 24:00, , , , , , ,14.930, , , 
776,31 May 1985, 24:00, , , , , , ,9.950, , , 
777,30 Jun 1985, 24:00, , , , , , ,4.330, , , 
778,31 Jul 1985, 24:00, , , , , , ,8.450, , , 
779,31 Aug 1985, 24:00, , , , , , ,13.750, , , 
780,30 Sep 1985, 24:00, , , , , , ,6.620, , , 
781,31 Oct 1985, 24:00, , , , , , ,4.690, , , 
782,30 Nov 1985, 24:00, , , , , , ,5.680, , , 
783,31 Dec 1985, 24:00, , , , , , ,14.280, , , 
784,31 Jan 1986, 24:00, , , , , , ,15.080, , , 
785,28 Feb 1986, 24:00, , , , , , ,12.410, , , 
786,31 Mar 1986, 24:00, , , , , , ,14.740, , , 
787,30 Apr 1986, 24:00, , , , , , ,14.480, , , 
788,31 May 1986, 24:00, , , , , , ,9.970, , , 
789,30 Jun 1986, 24:00, , , , , , ,11.370, , , 
790,31 Jul 1986, 24:00, , , , , , ,14.550, , , 
791,31 Aug 1986, 24:00, , , , , , ,14.660, , , 
792,30 Sep 1986, 24:00, , , , , , ,9.070, , , 
793,31 Oct 1986, 24:00, , , , , , ,0.350, , , 
794,30 Nov 1986, 24:00, , , , , , ,12.700, , , 
795,31 Dec 1986, 24:00, , , , , , ,11.010, , , 
796,31 Jan 1987, 24:00, , , , , , ,2.780, , , 
797,28 Feb 1987, 24:00, , , , , , ,6.880, , , 
798,31 Mar 1987, 24:00, , , , , , ,13.580, , , 
799,30 Apr 1987, 24:00, , , , , , ,14.540, , , 
800,31 May 1987, 24:00, , , , , , ,7.040, , , 
801,30 Jun 1987, 24:00, , , , , , ,5.140, , , 
802,31 Jul 1987, 24:00, , , , , , ,9.110, , , 
803,31 Aug 1987, 24:00, , , , , , ,14.020, , , 
804,30 Sep 1987, 24:00, , , , , , ,8.420, , , 
805,31 Oct 1987, 24:00, , , , , , ,12.430, , , 
806,30 Nov 1987, 24:00, , , , , , ,14.480, , , 
807,31 Dec 1987, 24:00, , , , , , ,14.950, , , 
808,31 Jan 1988, 24:00, , , , , , ,14.970, , , 
809,29 Feb 1988, 24:00, , , , , , ,11.920, , , 
810,31 Mar 1988, 24:00, , , , , , ,1.920, , , 
811,30 Apr 1988, 24:00, , , , , , ,1.680, , , 
812,31 May 1988, 24:00, , , , , , ,13.050, , , 
813,30 Jun 1988, 24:00, , , , , , ,11.030, , , 
814,31 Jul 1988, 24:00, , , , , , ,12.880, , , 
815,31 Aug 1988, 24:00, , , , , , ,14.090, , , 
816,30 Sep 1988, 24:00, , , , , , ,5.000, , , 
817,31 Oct 1988, 24:00, , , , , , ,6.090, , , 
818,30 Nov 1988, 24:00, , , , , , ,6.930, , , 
819,31 Dec 1988, 24:00, , , , , , ,13.020, , , 
820,31 Jan 1989, 24:00, , , , , , ,14.810, , , 
821,28 Feb 1989, 24:00, , , , , , ,13.110, , , 
822,31 Mar 1989, 24:00, , , , , , ,14.680, , , 
823,30 Apr 1989, 24:00, , , , , , ,14.470, , , 
824,31 May 1989, 24:00, , , , , , ,14.970, , , 
825,30 Jun 1989, 24:00, , , , , , ,14.310, , , 
826,31 Jul 1989, 24:00, , , , , , ,14.660, , , 
827,31 Aug 1989, 24:00, , , , , , ,14.530, , , 
828,30 Sep 1989, 24:00, , , , , , ,8.870, , , 
829,31 Oct 1989, 24:00, , , , , , ,12.450, , , 
830,30 Nov 1989, 24:00, , , , , , ,8.140, , , 
831,31 Dec 1989, 24:00, , , , , , ,14.660, , , 
832,31 Jan 1990, 24:00, , , , , , , ,14.090, , 
833,28 Feb 1990, 24:00, , , , , , , ,13.330, , 
834,31 Mar 1990, 24:00, , , , , , , ,14.910, , 
835,30 Apr 1990, 24:00, , , , , , , ,12.160, , 
836,31 May 1990, 24:00, , , , , , , ,9.650, , 
837,30 Jun 1990, 24:00, , , , , , , ,14.440, , 
838,31 Jul 1990, 24:00, , , , , , , ,14.770, , 
839,31 Aug 1990, 24:00, , , , , , , ,14.900, , 
840,30 Sep 1990, 24:00, , , , , , , ,9.060, , 
841,31 Oct 1990, 24:00, , , , , , , ,1.220, , 
842,30 Nov 1990, 24:00, , , , , , , ,14.390, , 
843,31 Dec 1990, 24:00, , , , , , , ,5.040, , 
844,31 Jan 1991, 24:00, , , , , , , ,1.800, , 
845,28 Feb 1991, 24:00, , , , , , , ,1.290, , 
846,31 Mar 1991, 24:00, , , , , , , ,12.710, , 
847,30 Apr 1991, 24:00, , , , , , , ,14.180, , 
848,31 May 1991, 24:00, , , , , , , ,14.720, , 
849,30 Jun 1991, 24:00, , , , , , , ,14.450, , 
850,31 Jul 1991, 24:00, , , , , , , ,14.740, , 
851,31 Aug 1991, 24:00, , , , , , , ,14.580, , 
852,30 Sep 1991, 24:00, , , , , , , ,4.120, , 
853,31 Oct 1991, 24:00, , , , , , , ,0.740, , 
854,30 Nov 1991, 24:00, , , , , , , ,14.830, , 
855,31 Dec 1991, 24:00, , , , , , , ,1.970, , 
856,31 Jan 1992, 24:00, , , , , , , ,7.670, , 
857,29 Feb 1992, 24:00, , , , , , , ,10.200, , 
858,31 Mar 1992, 24:00, , , , , , , ,15.620, , 
859,30 Apr 1992, 24:00, , , , , , , ,14.890, , 
860,31 May 1992, 24:00, , , , , , , ,15.490, , 
861,30 Jun 1992, 24:00, , , , , , , ,14.940, , 
862,31 Jul 1992, 24:00, , , , , , , ,15.480, , 
863,31 Aug 1992, 24:00, , , , , , , ,10.370, , 
864,30 Sep 1992, 24:00, , , , , , , ,0.450, , 
865,31 Oct 1992, 24:00, , , , , , , ,0.470, , 
866,30 Nov 1992, 24:00, , , , , , , ,8.590, , 
867,31 Dec 1992, 24:00, , , , , , , ,10.390, , 
868,31 Jan 1993, 24:00, , , , , , , ,15.100, , 
869,28 Feb 1993, 24:00, , , , , , , ,14.160, , 
870,31 Mar 1993, 24:00, , , , , , , ,15.670, , 
871,30 Apr 1993, 24:00, , , , , , , ,15.160, , 
872,31 May 1993, 24:00, , , , , , , ,15.340, , 
873,30 Jun 1993, 24:00, , , , , , , ,15.090, , 
874,31 Jul 1993, 24:00, , , , , , , ,15.040, , 
875,31 Aug 1993, 24:00, , , , , , , ,15.620, , 
876,30 Sep 1993, 24:00, , , , , , , ,3.560, , 
877,31 Oct 1993, 24:00, , , , , , , ,13.460, , 
878,30 Nov 1993, 24:00, , , , , , , ,13.870, , 
879,31 Dec 1993, 24:00, , , , , , , ,14.300, , 
880,31 Jan 1994, 24:00, , , , , , , ,8.430, , 
