date,inflow-c5,d73-sink,inflow-d66,n13-sink,inflow-c304,c301-sink,inflow-n14,d31-sink,inflow-c32,d37-sink,inflow-c7,c20-sink,inflow-d64,d85-sink,inflow-d98,d517-sink,inflow-d509,d509-sink,inflow-d612,d699-sink,inflow-d653b,d653b-sink,inflow-d663,d664-sink,inflow-d646,d647-sink,inflow-c54,c54-sink,inflow-c52,c52-sink,inflow-d606,d605-sink,inflow-c51,c53-sink,inflow-c89,c56-sink,inflow-c65,c97-sink
1921-10-31,61.228730473358446,0.0,68.03118865214655,0.0,0.0,18.935917183151982,23.721964243899677,0.0,0.0,66.76809732882329,34.077614448061645,0,2.779395165642678,0.0,2.8808583264888306,0.0,20.27596835999482,0.0,0.0,3.4524878082001282,0.0,31.465162954596213,0.0,9.092480377360669,0.0,22.273200967797255,0.0,18.71227078252482,0.0,49.98472106138548,0,8.627801218057108,0.0,46.54443257784895,0.0,29.33839014402631,0.0,102.48739800120495
1921-11-30,102.02981219558735,0.0,75.03025831152944,0.0,0.0,85.4462311273102,12.22083120346356,0.0,0.0,119.35285357513693,54.58864116958118,0,10.730857701399973,0.0,29.62721059298017,0.0,48.075400761302774,0.0,6.8241613661536125,0.0,9.035272768305488,0.0,3.5647161361073816,0.0,0.0,21.49696675702251,0.0,24.537900883038763,0.0,81.83721500758085,0,17.272591106986404,0.0,50.1175141015198,0.0,65.48842718966043,0.0,230.87381630841358
1921-12-31,200.17817499703497,0.0,148.68148727980468,0.0,0.0,55.64787986043966,49.08205480781483,0.0,0.0,122.90882949665443,212.52013402990866,0,57.82556107482226,0.0,101.39247993982165,0.0,105.50727009687876,0.0,6.92595927562299,0.0,23.82073875871222,0.0,8.685027461139166,0.0,0.0,50.153818116809965,0.0,57.474083992075506,0.0,188.87227947702775,0,33.501975852006375,0.0,44.4342227451132,0.0,149.70143356147767,0.0,331.54108662808517
1922-01-31,201.90947458357547,0.0,218.5372745301334,0.0,25.984634165070073,0.0,66.34838725946831,0.0,0.0,134.09644633045772,173.056318647889,0,61.4113825576523,0.0,96.37250390481624,0.0,116.02278686041996,0.0,14.371934483468456,0.0,23.209966506379626,0.0,18.425628041055894,0.0,5.67545966611423,0.0,0.0,41.068529960039854,0.0,104.35469255854763,0,22.6085827405955,0.0,24.007922603239056,0.0,164.23688977286304,0.0,315.75009945937813
1922-02-28,128.92778733226473,0.0,99.91759817692395,0.0,0.0,75.81551516111975,40.739331868801806,0.0,0.0,153.45955048361017,152.44858271179803,0,46.107540960653154,0.0,68.68285407584713,0.0,91.7774111906259,0.0,6.861189914059865,0.0,19.09146676222679,0.0,22.69769639304143,0.0,0.0,24.729534932686125,0.0,53.85509783741471,0.0,94.59676889023213,0,25.945498507897305,0.0,30.402340292615946,0.0,114.44460426391508,0.0,279.38852575620695
1922-03-31,131.42025591471267,0.0,131.21033607428222,0.0,0.0,65.79415042020818,18.629670825367345,0.0,0.0,145.6771920642354,65.94470519865723,0,27.43103861037613,0.0,64.48379237768403,0.0,58.978328742109674,0.0,9.388466473746245,0.0,19.418420825875522,0.0,28.337887235728836,0.0,0.0,35.39920786068086,0.0,13.015520170849543,0.0,30.95648996454148,0,14.347542270493419,0.0,47.056827586051234,0.0,71.8277969420545,0.0,183.5760690505842
1922-04-30,57.63095355583046,0.0,50.605128230926695,0.0,0.0,52.81022242204618,3.195819925168827,0.0,0.0,114.72587296451387,16.631782887007223,0,0.0,10.950690505022028,8.137656997374396,0.0,21.880046394151506,0.0,0.0,7.889301256333419,0.0,15.435096455563581,0.0,53.81625930536191,0.0,32.256309822045274,0.0,16.33552382696309,0.0,49.56146972455859,0,11.220908918376416,0.0,55.54838369805379,0.0,50.64422696692398,0.0,146.04244450148036
1922-05-31,31.960655486587417,0.0,24.67258834217019,0.0,0.0,46.46876283362836,0.0,3.7427575227704417,0.0,65.75940931904597,7.1876868085467756,0,0.0,15.001503428429228,0.14753706167819908,0.0,0.0,2.021450217588622,0.0,11.875737293025649,0.0,10.149242552779548,30.07568225833692,0.0,0.0,34.85028926006682,0.0,25.59004174364861,0.0,39.19612477060353,0,9.06960566707527,0.0,83.82526281846759,0.0,94.89487056926231,0.0,122.86005978871484
1922-06-30,9.451181735837212,0.0,6.1791018882637125,0.0,5.753864187134377,0.0,2.3442020152691203,0.0,10.80508499652065,0.0,3.6150315781919957,0,0.0,13.683340514700838,0.0,19.228317958804038,0.0,1.862498698330456,0.0,2.5190763787276174,9.986010151268713,0.0,0.0,107.98229581727085,0.0,26.845721355803974,0.0,0.07448728805480564,0.0,8.218886629552934,0,3.6404431184320636,0.0,66.19663261908102,0.0,50.995851894119106,0.0,60.08583705000217
1922-07-31,3.1968872484061936,0.0,0.0,6.421577520957434,3.0111622680719567,0.0,0.0,0.8091497976815054,12.356913137295113,0.0,2.1511443593584576,0,0.0,5.127779423858087,0.0,18.256595602241468,0.0,0.853196400082269,0.0,1.3119770815774228,22.238945584334992,0.0,78.61699811774919,0.0,0.0,6.612987500882223,1.026079350818819,0.0,5.38241123430084,0.0,0,0.25834863019982424,0.0,26.40619504491424,0.0,14.151987697922806,0.0,42.35457042284085
