date,inflow-c5,d73-sink,inflow-d66,n13-sink,inflow-c304,c301-sink,inflow-n14,d31-sink,inflow-c32,d37-sink,inflow-c7,c20-sink,inflow-d64,d85-sink,inflow-d98,d517-sink,inflow-d509,d509-sink,inflow-d612,d699-sink,inflow-d653b,d653b-sink,inflow-d663,d664-sink,inflow-d646,d647-sink,inflow-c54,c54-sink,inflow-c52,c52-sink,inflow-d606,d605-sink,inflow-c51,c53-sink,inflow-c89,c56-sink,inflow-c65,c97-sink
1921-10-31,95.14442463851834,0,79.94287186141327,0.0,8.446550481744278,0.0,39.67669244994425,0.0,0.0,38.39817488040978,53.33055244425637,0.0,18.264476888754988,0.0,50.49936986252161,0.0,42.54691872442213,0.0,2.1589243832472116,0.0,13.884498627292626,0.0,5.105627668223474,0.0,12.660446700753853,0.0,0.0,7.560577261304698,0.0,37.36778207529915,0,5.943911091865462,0.0,42.56515533654654,0.0,10.648932749616499,0.0,99.8760166276588
1921-11-30,127.78062487068605,0,84.76112307627692,0.0,0.0,74.2435796419209,25.962194124376307,0.0,0.0,87.58848839804357,86.71808107642478,0.0,27.374897488310978,0.0,53.504993127631366,0.0,41.189136343186675,0.0,4.201766991528422,0.0,17.078162019250975,0.0,8.896628784085049,0.0,0.0,16.916430190009173,0.0,28.8515110460373,0.0,82.68781212337258,0,16.994830913820053,0.0,50.47663193656076,0.0,63.29749170517775,0.0,226.97156766788083
1921-12-31,180.25456176946082,0,124.47182974525022,0.0,0.0,82.59633669371223,41.96524201511489,0.0,0.0,158.6600090248299,172.46844514019637,0.0,31.590546597423693,0.0,71.67720202596543,0.0,75.96854523856484,0.0,0.12488307848400752,0.0,19.57441965300039,0.0,2.334745615367989,0.0,0.0,75.46545045270206,0.0,72.39613148369106,0.0,197.37509133504577,0,37.56039757167343,0.0,47.89909693544528,0.0,161.22015529458642,0.0,331.5560889473176
1922-01-31,173.32291862834523,0,195.24549629861193,0.0,0.0,2.231161722969607,60.94654221681198,0.0,0.0,157.571356399738,193.8208437970713,0.0,68.24356389959429,0.0,156.88600543759514,0.0,154.37584646016143,0.0,62.15764441119684,0.0,57.00991795554235,0.0,51.717541343532794,0.0,104.3238422616323,0.0,6.902388690889918,0.0,0.0,32.17823902070121,0,2.4523075515438997,14.713165789373399,0.0,0.0,87.9731665250115,0.0,299.7206833374103
1922-02-28,176.47513328789506,0,176.89791510848576,0.0,12.228223246542582,0.0,73.06222561875971,0.0,0.0,77.96443001267063,243.45487581814763,0.0,94.0852665411051,0.0,160.5049347849396,0.0,141.6380531154133,0.0,26.540076041886188,0.0,42.723579158461725,0.0,42.798045515615534,0.0,39.900712799269684,0.0,0.0,31.33427992865083,0.0,72.83225361636984,0,23.268306923503594,0.0,26.193017572597373,0.0,85.94287360322726,0.0,272.8212116493214
1922-03-31,118.72004583191601,0,125.21297993058663,0.0,0.0,73.6977111444422,20.490814532563167,0.0,0.0,152.1292296682076,71.75876752323119,0.0,32.52351476651789,0.0,48.862210302516985,0.0,74.94318806312161,0.0,0.839445388110635,0.0,15.214292261402711,0.0,19.4340429079802,0.0,0.0,33.2882832818047,0.0,33.06970028212434,0.0,42.071195346886114,0,19.697004213904542,0.0,53.28421224484283,0.0,86.32105419145756,0.0,187.65902120044584
1922-04-30,52.5556072337426,0,35.86258978301499,0.0,0.0,72.06733965446006,0.0,5.977093480801778,0.0,128.38060067866064,0.0,7.590379370068115,0.0,17.35736472232339,0.0,24.902525929771883,7.428925746209379,0.0,0.0,12.779314088225446,0.0,25.53131284322174,0.0,54.61875654083097,0.0,37.92506758413922,0.0,23.907215377363727,0.0,46.137524541707435,0,11.747422681206487,0.0,55.441117712431925,0.0,54.409944138755534,0.0,142.14913479566607
1922-05-31,21.69537975236412,0,25.039759471681535,0.0,0.0,48.724076579125665,0.0,7.311373798144475,0.0,62.97942840601828,4.060552082697267,0.0,0.0,16.875122348750608,0.0,24.22315625925001,0.0,6.318382817200743,0.0,11.40433400842548,0.0,11.987503684966548,30.375461766652084,0.0,0.0,39.87791804334972,0.0,22.926587900264735,0.0,43.362603881130724,0,10.285066740213665,0.0,87.45958037813162,0.0,101.42967761924797,0.0,123.56182295029274
1922-06-30,11.550986382424453,0,2.690511703591672,0.0,3.6294580589750827,0.0,3.3460567913107817,0.0,13.603091080122029,0.0,1.6238076586324799,0.0,0.0,12.872303402588521,0.0,20.769024463842825,0.0,2.4279747797430242,0.0,1.952134197556251,10.107007534861024,0.0,0.0,107.74714303948475,0.0,26.757034129502546,0.0,0.06952614674751845,0.0,8.102847391214484,0,2.7344029341186777,0.0,66.10164515355572,0.0,50.505422157281366,0.0,59.251615455218605
1922-07-31,4.869486308592543,0,0.0,2.4367438618185133,7.772783287441765,0.0,4.553251596620197,0.0,16.041010163413027,0.0,3.4814556603248574,0.0,0.26367336727933804,0.0,0.0,16.57759517391021,0.9161787116193929,0.0,0.025788841992005606,0.0,24.98473154566254,0.0,80.96579043183863,0.0,0.0,5.394961078201041,2.560972630226757,0.0,5.38241123430084,0.0,0,0.17190260061847795,0.0,26.470115276421353,0.0,13.359206480442891,2.586850510402626,0.0
1922-08-31,10.648586154374327,0,0.0,10.421767657884777,0.15551336920883618,0.0,2.483022626882053,0.0,0.0,4.554553361407336,1.9318258494192664,0.0,4.069429580013663,0.0,2.2071852023212917,0.0,0.0,2.064689108658374,6.325568070819154,0.0,9.786337849564331,0.0,39.636274157901596,0.0,12.048111913397198,0.0,0.0,1.2948902197715069,0.6611977441064418,0.0,0,0.9991970311158596,0.0,38.939128338725325,4.970723554726064,0.0,0.0,29.216801055570883
