date,gw_01,gw_02,gw_03,gw_04,gw_05,gw_06,gw_07,gw_08,gw_09,gw_10,gw_11,gw_12,gw_13,gw_14,gw_15,gw_16,gw_17,gw_18,gw_19,gw_20,gw_21,gw_vc,gw_sd,gw_ew,gw_av,gw_ch,gw_im,gw_mj,gw_ow,gw_sc,gw_mwd,gw_sbv
31.10.1921,-1079.569579,132.8040454,70.19633294,266.8274334,63.74446656,123.4630922,127.3204288,50.61505189,188.3883322,24.41990342,24.89338843,27.85383025,136.3584967,91.08653638,89.1502861,35.30579929,54.15199546,89.02942172,45.57650222,99.746008,168.2567265,22.19,11.19,11.03,0,0.86,2.39,0,3.86,9.87,65.81,16.42
30.11.1921,-187.6731464,52.46462657,41.42206058,-2.286640911,40.71789203,43.33678421,63.22079474,137.6577212,109.9605657,12.24978811,7.926390099,12.21090924,117.9906065,57.37674039,84.10140793,29.47520568,25.31359164,74.94829272,32.20602025,90.00640459,142.9281621,15.43,10.57,9.36,0,0.57,0,5.41,2.88,16.89,60.46,12.92
31.12.1921,-79.92288385,97.79591445,137.3598036,68.92221151,84.19830807,71.17794688,50.87903358,149.3209873,95.15240537,67.83549351,31.25435306,30.04813751,225.0464059,84.89170354,168.6864429,44.1590976,29.37581692,146.0352121,50.66332034,95.42247556,158.347216,11.73,12.26,12.27,29.79,49.32,8.18,6.02,2.97,15.73,69.56,11.2
31.01.1922,-64.76915359,58.85945277,91.58259977,-30.32551982,63.4432283,44.60711773,22.54755465,94.83591229,37.47686776,53.48584005,33.79703375,25.97911248,195.4420577,74.37791914,194.7985927,58.03148562,83.16962941,169.1685631,41.49430992,99.21043241,146.9140216,4.26,9.38,8.18,8.75,15.77,6.18,16.29,3.06,36.36,71.25,9.88
28.02.1922,-31.66688795,241.6453502,121.6105113,79.35938081,103.9176787,130.9185836,58.72878185,210.5134061,71.83676881,95.80798807,49.22449683,39.73145149,267.3227412,84.98592183,178.448178,62.77530408,135.2699489,168.7020067,39.14584421,96.87371022,151.6200357,0,2.96,3.21,0,3.01,5.95,8.67,3.49,36.76,59.39,10.08
31.03.1922,-49.92572895,110.4046711,85.92624547,-28.03527038,97.18631285,83.8132605,36.80585175,149.9189601,10.51988242,66.42130174,88.26754279,112.3403612,297.3106585,66.33950886,234.3238852,70.56500724,113.3736026,169.9352639,32.8614305,95.96299884,142.2472247,0,3.79,2.94,0.96,3.15,0.56,15.69,5.27,22.68,70.09,10.69
30.04.1922,-48.91827671,116.5886734,72.3617784,42.34481904,99.83726366,79.69191105,41.81946499,129.8940522,14.47413394,55.07804975,123.5460939,181.6206313,413.755844,49.0870472,212.5717153,91.25335575,92.16382355,126.9085145,30.64050186,87.45049123,123.675376,0,4.59,4.09,0,0,0.22,5.46,6,9.84,86.72,14.64
31.05.1922,-33.68205906,126.3251057,39.54614969,33.50888936,243.4746566,84.69622315,63.09041791,146.7826712,62.2602445,53.71355759,63.48938995,134.0069493,334.3485788,46.43164663,230.2655729,45.26167115,91.85719457,119.5721813,26.58770403,84.08299289,140.7182473,4.88,7.54,6.36,0,0,0,0,7.67,2.94,97.94,17.69
30.06.1922,-34.83311334,88.18507244,46.0052474,57.98246338,56.80033313,61.24334152,25.40228304,130.6624233,28.89129401,56.51788037,102.6336143,163.438106,321.0506841,33.33519275,235.3890224,26.97999543,70.82396957,99.73693588,22.33384519,82.63455709,140.798171,18.62,12.84,12.41,0,0,0,0,7.25,0.33,107.19,22.83
31.07.1922,-39.70477391,52.64834564,45.27978712,42.84429663,2.717427341,61.60743625,-0.880908122,32.2239256,5.090710538,37.34205818,39.72069808,36.35090493,240.0540119,36.44956044,216.3464031,-2.83231931,25.0068031,112.1583245,21.50444605,81.83067555,125.1963598,30.39,18.02,17.93,0,1,0.11,0,6.14,1,116.73,24.8
