date,d94,sr_scagg,d43a,d74,sr_ll_enr,sr_hth,sr_dnp,c116,sr_gnt,sr_crw,sr_pnf,sr_trm,sr_isb,sr_scc,sr_par,sr_rll_cmb,sr_ber,sr_clk_inv,sr_buc,sr_hid,sr_mcr,sr_mil,sr_nml,c23,c37,sr_nhg,c77,c86,c87,sr_blb,sr_sha,sr_whi,sr_cle,c29,c28,sr_fol,d17,c27,sr_bul,d76b,d75,c38,c2,sr_lvq
1921-10-31,0.2919364431188822,8.124904377914293,7.743686914308913,20.388441495901947,0.09324997107555709,0.9324997107555708,4.382748640551183,16.20310655493289,3.526064638897313,7.807714557558337,14.146346133677369,1.7962252901514473,12.861875145650366,0.6248914951085732,2.011289834441047,2.5980902130575494,0.0,3.382555217686507,0.0,0.19697643817299335,2.602571519186112,65.3961774734338,5.050342269577302,9.503063873510929,0.35325456479128975,0.0,150.4975013437649,0.28187960147387553,0.4901067667284122,4.1342341549501755,231.35155511757742,0.5881281200740947,8.98791611716999,2.2131879592712456,1.6358345785917903,7.989615731221101,6.8616699809310635,3.75279697441646,16.16589465902475,3.4307473670988853,15.977480595346238,0.14123817481764261,1.1762562401481893,0.0
1921-11-30,0.6483699371214293,15.018036123364872,10.470257687996622,29.294444382373527,0.1215045287934796,0.8505317015543571,6.439740026054419,17.99558402119149,4.551824193595494,10.056355776548184,14.24220700953681,2.2386157497396706,13.92194304129961,1.188957309400804,2.5649333600006563,4.3276705884324,0.0,3.899963943517931,0.0,0.3744320590791638,3.7049731808335418,63.27901798437869,4.780459705908857,15.825825630430023,1.0424651788261532,0.09876734629557549,160.9626695449433,1.2408976183920688,1.3366286410208452,4.609048296884827,259.0214765962285,3.6757287628073243,40.25596396497991,2.369914846046314,2.0607955183011426,21.247993458063004,14.236155616902213,4.739829692092628,21.53531316624694,3.564343042722254,19.158343854632115,0.1572881176037108,5.01235740382817,0.0
1921-12-31,2.7084509525566394,16.7796288159768,69.45091369548234,219.56332164359185,14.27508165960807,11.939159206217656,121.727514515567,33.30568460016714,8.95942392753034,19.477008538109438,98.25079540997767,18.76816481830784,30.463844750759264,9.707369777713156,32.98237582247084,28.92814845063925,60.50039352805737,67.83919866015901,24.52845342342993,18.658396193891146,85.89360765306262,174.214912776669,58.10557959055471,38.660460775877524,20.176703289000397,16.90481327994691,516.3587792378141,42.95885930986323,17.49944282090894,26.670291821540086,755.7182060231585,69.99777128363576,159.67770639744518,24.288728416102767,8.733025947362792,175.35828957398815,145.7733020691742,37.93408145885713,99.06526309039667,25.97573543728671,132.06610753904715,7.64814196715033,69.45091369548234,0.0
1922-01-31,2.2578183720935576,24.24001237214438,44.47955818134312,130.2463617558947,26.468307877490144,21.88725459100147,76.85989402886561,22.597187333518463,5.888963971765417,15.064791555678974,121.60005571887481,27.169927914835704,49.25740297760992,12.022514440984487,36.7893331500521,29.06214201870493,9.793554230287228,12.97940922086259,20.039573101848198,15.831262750460077,55.05496550348135,183.56248961292948,56.402529277692594,31.948986064108826,18.433669549433603,10.538720985694054,455.12604687644597,38.820233033307204,12.130788594911762,17.81718902136592,589.943038684084,64.2718974677781,107.12602527948425,20.451136976125692,10.117930925030606,96.9662550265161,91.49823312652458,29.707967396898376,107.422287906176,15.323101383046435,76.61550691523217,8.355406223572338,30.433381913550562,0.0
1922-02-28,2.2503308058987948,32.352472815458825,124.90518683555966,364.70494443971245,20.966953223622493,27.418323446275572,306.4400855760211,26.449195382173016,6.612298845543254,20.70693585841177,194.78629102117605,58.91987225954461,66.4872272211942,21.697740012968023,120.94857914205033,61.3051399811914,128.4241630770568,149.70880524440963,87.18120505109977,72.61582212488698,283.9808346296471,255.84411748652042,194.1607537577204,26.086517218117148,118.49456236872685,100.32639143164971,771.1028551117564,33.257253386488806,40.49749227091006,83.70594852353183,944.9119484001527,68.48171445811195,125.3567597277154,29.136783562489324,11.115767139446794,236.75710686891003,260.8315018031191,71.74722426370204,123.28396281931899,45.04777230134939,217.2758714534781,45.8401559938656,167.90533312321134,0.9087773262769332
1922-03-31,2.1563519715857433,19.253656444454684,61.26419653655221,162.9173819009055,33.18034064616418,40.75576088501445,208.47556497315946,33.77028809330091,9.121859427500823,27.171496167023726,229.93755979915193,72.29150564797229,100.80724153558494,26.688778461406336,90.3293706282276,44.39220346714531,27.24697065261155,53.50911104067088,46.43384540397196,49.56628735582721,227.65832145656307,207.84673657016018,174.41579753614917,22.29081489813399,70.68452563800923,36.547774893695966,550.706206102979,21.994542574999684,17.84981528719299,34.96147439160398,730.1709370720151,39.93517996456736,93.15360882320796,23.659580968753268,13.415226322488968,151.37170915786885,186.24775094784184,50.611990216662925,126.34704063725972,21.93409505629647,103.77096005944398,21.077835971209424,91.36685113105564,0.0
1922-04-30,2.384905173088808,4.485531043499098,27.726580003090824,67.7760844519998,58.237107595361046,60.07295336894511,149.9274048426983,27.125217291530028,11.657118174872409,24.54720077208709,248.77852658449365,75.607115437714,117.53128477497157,13.920289402211779,91.68280041145395,29.44423331764975,7.157817479083904,22.503354232803353,12.86994513883839,20.368968290602492,139.32497972467695,185.95550653360982,157.66736401098856,9.882070435786606,42.77372172459727,14.053200945040174,472.53089743931247,40.01168475718124,5.606930622847256,24.305682375018723,588.3582810785176,47.99779071646167,88.74155015286408,15.608302321783265,12.463772549995427,100.8662625263303,128.646976319172,39.96411473599452,114.97544311027892,10.104798045570877,47.56648836085804,10.85627769596238,37.708148804203525,0.0
1922-05-31,4.022954256413857,1.8191876320145846,22.44822755121699,50.21118447300357,143.95265798514018,220.92418962072776,178.91907648626258,36.69328495872136,22.326601959010347,11.907521044805517,598.6856367946355,125.07898764434684,192.83278158066165,12.30511270149679,146.24460196705266,31.160091489392613,2.075252466361409,11.047667541512206,3.4629972847385284,10.932207114566728,269.53709321529885,275.74964653574835,238.21633198385462,5.730115765276945,50.36096997082586,5.43237254221591,438.23081674811283,30.21323443673228,2.304288258568632,22.21740875751626,331.4472281683459,15.200869318622102,72.82662323562049,5.869836873753318,10.927887796881178,163.5267599243695,188.4615523750765,57.01235176315723,153.83343764352446,8.362336422224873,41.70018429216137,4.39770548217559,14.90354180138744,0.0
1922-06-30,1.9898385191866117,0.21574950925522132,14.068681528027751,36.29128358130883,91.76347769638132,177.85974456665213,71.45219409560126,29.854268893244726,16.85766453671671,12.996604356528017,353.68649059478764,57.840545798839585,127.28009655526442,2.6492191909970555,68.05879927202477,6.669787284692643,0.4921172385881642,12.79504820329227,0.6130900261743711,1.9618880837579875,138.03290144174582,269.7596115167233,102.7180756278302,4.7905909959691675,18.903044147403392,1.584723505879187,172.43016812114996,4.147845296671671,0.591476100277443,11.740511263460489,175.0549824759978,3.5911048945416186,20.135668727437405,1.5179515889300497,1.7709435204183914,103.60496317752688,89.00893120005334,31.945981167027867,72.83867700214346,5.492278074004829,32.78467527252113,0.473588486800625,7.0977132033293175,0.0
1922-07-31,0.4566965143183474,0.794895281403207,8.475007444823571,19.55257623097092,10.55158369303994,23.56730968565208,6.865900766329382,18.71696402408441,7.738982482877702,7.368104728107205,64.42165369040771,8.748455080804202,41.34787870669602,0.8790470070383378,12.252614529172401,3.1796363614268595,0.0,14.392904758414979,0.028785164049800412,0.7196291012450102,21.337833491129256,87.99624650023985,20.100316352826795,7.104136139062865,3.154250728484784,0.3342011940442431,98.10042770374709,1.2128852324507005,0.06673234208522498,4.285527821325808,154.12272138711626,5.672249077244124,5.013161231140673,1.1109572829081795,0.6512508210151398,28.909154936835428,19.045026738299264,7.5468477494107375,24.517677967628792,2.9362230517498995,18.551591099692544,0.04478458281309356,3.603546472602149,0.0
